distance,position,run,mean_rssi,median_rssi,std_rssi,min_rssi,max_rssi,count,q25,q75
3,start,1,-61.04545454545455,-60.0,5.4875178965154,-79,-53,88,-64.0,-58.0
3,start,2,-62.68115942028985,-61.0,5.348151834768796,-79,-56,69,-65.0,-59.0
3,start,3,-67.48148148148148,-67.0,6.052414895369313,-83,-57,54,-70.75,-63.0
5,start,1,-69.48051948051948,-69.0,4.509085534581058,-81,-59,77,-72.0,-66.0
5,start,2,-66.10810810810811,-64.5,5.920865281931575,-85,-58,74,-70.0,-61.0
5,start,3,-65.6027397260274,-64.0,5.111913443742625,-82,-58,73,-69.0,-62.0
7,start,1,-65.15686274509804,-64.0,5.504080482767701,-76,-58,51,-69.0,-60.0
7,start,2,-65.15789473684211,-63.0,6.932152396053138,-79,-54,76,-72.0,-58.75
7,start,3,-69.24271844660194,-70.0,6.834838695139626,-86,-57,103,-73.0,-63.0
9,start,1,-67.44155844155844,-67.0,5.637033342789792,-86,-59,77,-71.0,-63.0
9,start,2,-60.876543209876544,-59.0,3.9382188742164357,-73,-55,81,-62.0,-58.0
9,start,3,-75.86363636363636,-74.0,4.480401295829448,-90,-67,44,-78.0,-73.75
3,center,1,-47.825,-47.5,5.4790163581763975,-68,-42,80,-49.25,-43.0
3,center,2,-48.4,-48.0,3.579704696519772,-63,-42,85,-50.0,-46.0
3,center,3,-38.666666666666664,-38.0,3.957198540616211,-56,-35,93,-40.0,-36.0
5,center,1,-56.27272727272727,-55.0,3.993463834320934,-71,-49,88,-58.0,-54.0
5,center,2,-55.07608695652174,-55.0,5.19347370602881,-73,-48,92,-57.0,-51.0
5,center,3,-49.3,-48.0,5.006624824652977,-70,-44,90,-52.0,-45.25
7,center,1,-59.43529411764706,-60.0,8.225174855318288,-77,-49,85,-65.0,-51.0
7,center,2,-54.98809523809524,-55.0,6.031032295141297,-74,-47,84,-57.0,-50.0
7,center,3,-49.84615384615385,-50.0,3.82658268468552,-64,-43,91,-52.0,-47.0
9,center,1,-60.41891891891892,-59.0,5.659291685087228,-81,-52,74,-62.0,-57.0
9,center,2,-51.80952380952381,-51.0,4.540251546760379,-69,-47,84,-53.25,-49.0
9,center,3,-53.470588235294116,-53.0,5.517479227945705,-72,-47,85,-56.0,-49.0
3,end,1,-65.38028169014085,-64.0,4.642555322181644,-81,-61,71,-67.0,-62.5
3,end,2,-70.1044776119403,-69.0,5.214008893176875,-91,-61,67,-72.0,-67.0
3,end,3,-69.02898550724638,-68.0,4.242540216082929,-83,-62,69,-70.0,-67.0
5,end,1,-66.525,-67.0,5.35885320682585,-81,-59,40,-68.25,-62.0
5,end,2,-65.1604938271605,-67.0,7.178887083182631,-84,-55,81,-70.0,-58.0
5,end,3,-64.59677419354838,-64.0,8.574571016214746,-89,-55,62,-71.0,-56.25
7,end,1,-68.19298245614036,-69.0,5.406472960691353,-85,-61,57,-71.0,-63.0
7,end,2,-62.58139534883721,-62.0,5.292536623628475,-81,-56,86,-64.0,-58.25
7,end,3,-60.735632183908045,-60.0,5.368858893342846,-81,-54,87,-61.0,-58.0
9,end,1,-70.76190476190476,-69.0,5.925593615666328,-87,-62,42,-71.0,-68.0
9,end,2,-62.43478260869565,-62.0,4.608411678005767,-80,-57,92,-63.0,-60.0
9,end,3,-61.67816091954023,-60.0,5.7879069054276275,-81,-55,87,-64.0,-58.5
