distance,position,run,los_rssi,nlos_rssi,shadowing_db,los_std,nlos_std
3,start,1,-61.04545454545455,-72.41071428571429,11.365259740259745,5.4875178965154,5.820892732888333
3,start,2,-62.68115942028985,-71.26153846153846,8.580379041248612,5.348151834768796,4.521742346281337
3,start,3,-67.48148148148148,-74.54901960784314,7.067538126361654,6.052414895369313,3.9815259662104228
3,center,1,-47.825,-66.2,18.375,5.4790163581763975,4.963677592077797
3,center,2,-48.4,-76.36363636363636,27.96363636363636,3.579704696519772,6.911705302620681
3,center,3,-38.666666666666664,-73.45833333333333,34.791666666666664,3.957198540616211,3.5487986180122526
3,end,1,-65.38028169014085,-62.333333333333336,-3.046948356807512,4.642555322181644,5.82126957692044
3,end,2,-70.1044776119403,-70.59722222222223,0.4927446102819317,5.214008893176875,4.15766633562296
3,end,3,-69.02898550724638,-68.57692307692308,-0.45206243032329496,4.242540216082929,5.344398400987394
7,start,1,-65.15686274509804,-69.53731343283582,4.380450687737778,5.504080482767701,4.404984635920495
7,start,2,-65.15789473684211,-72.9047619047619,7.746867167919788,6.932152396053138,4.471097010635461
7,start,3,-69.24271844660194,-66.65432098765432,-2.5883974589476253,6.834838695139626,5.844143422750593
7,center,1,-59.43529411764706,-75.46808510638297,16.03279098873591,8.225174855318288,6.10719840355834
7,center,2,-54.98809523809524,-80.62790697674419,25.639811738648945,6.031032295141297,5.300598599681942
7,center,3,-49.84615384615385,-77.66666666666667,27.820512820512825,3.82658268468552,4.777310439511021
7,end,1,-68.19298245614036,-68.7,0.5070175438596465,5.406472960691353,4.792355023020172
7,end,2,-62.58139534883721,-69.40298507462687,6.821589725789657,5.292536623628475,4.115969275338609
7,end,3,-60.735632183908045,-66.27777777777777,5.542145593869726,5.368858893342846,4.399815048040543
9,start,1,-67.44155844155844,-73.3170731707317,5.875514729173261,5.637033342789792,5.832833892672771
9,start,2,-60.876543209876544,-72.7872340425532,11.91069083267665,3.9382188742164357,4.871997047068276
9,start,3,-75.86363636363636,-68.94827586206897,-6.915360501567392,4.480401295829448,3.0574752443696833
9,center,1,-60.41891891891892,-68.60655737704919,8.187638458130266,5.659291685087228,5.490229772133373
9,center,2,-51.80952380952381,-75.0,23.19047619047619,4.540251546760379,4.681334597849344
9,center,3,-53.470588235294116,-72.45454545454545,18.983957219251337,5.517479227945705,2.774087282999543
9,end,1,-70.76190476190476,-75.07692307692308,4.315018315018321,5.925593615666328,4.780869368173057
9,end,2,-62.43478260869565,-74.3265306122449,11.891748003549246,4.608411678005767,3.6877486080152444
9,end,3,-61.67816091954023,-68.73333333333333,7.055172413793102,5.7879069054276275,2.918592437834001
