distance,position,orientation,run,rssi_variability,rssi_trend,rssi_std,rssi_range,mean_rssi_rate,gps_moving,duration_sec
3,center,los,1,10.933200375502194,-0.07288521993092442,5.44466481980296,26,8.197649145917955,False,61.992232
3,center,los,2,8.697200910287735,-0.03922863525111168,3.558585310451993,21,5.524979432525915,False,60.999611
3,center,los,3,5.1668295227418115,-0.05798038071419919,3.935865778519803,21,4.006884796933815,False,62.366247
3,end,los,1,7.02122900979143,0.010987007183871448,4.6097453328060025,20,4.541763112285638,False,61.937027
3,end,los,2,9.825756804343628,0.060263646953238284,5.174952096852941,30,7.015470670988656,False,65.618707
3,end,los,3,6.76615621631113,-0.031391942876823994,4.211684968649991,21,3.971804184147957,False,60.499177
3,start,los,1,11.229602917299388,-0.0188647380718146,5.45624973374797,26,7.499383830483882,False,60.832149
3,start,los,2,8.14870356938006,-0.06333684212710815,5.309255668847928,23,5.928957100289305,False,61.021151
3,start,los,3,6.770830149735964,0.04986360085898754,5.996112137725209,26,5.00493886623405,False,59.995242
5,center,los,1,9.94571750736322,-0.027829802985281447,3.970708869411082,22,6.829068523263864,False,64.003295
5,center,los,2,9.961892186559801,0.00818960684497773,5.165171186296047,25,7.011877408809676,False,64.49935
5,center,los,3,10.249690006524625,-0.03925451882297103,4.978732547323443,26,7.875248228888999,False,61.501715
5,end,los,1,7.110807300282633,0.06205510907389153,5.29144356485071,22,4.4059109095619045,False,62.502401
5,end,los,2,16.561535564308553,-0.008119864514114021,7.134435342574022,29,11.803991503646552,False,63.933832
5,end,los,3,14.831036327569208,-0.035379567385134335,8.505140148698986,34,10.099668215638552,False,64.005071
5,start,los,1,9.406341889128047,-0.02723925631457267,4.479710071817437,22,6.931039983933483,False,62.125179
5,start,los,2,12.957098108283041,-0.04113265316837147,5.8807233595499016,27,9.920137191103699,False,63.9828
5,start,los,3,9.714958373297502,0.009476054191982526,5.076779601680408,24,6.987085348453438,False,61.420614
7,center,los,1,22.722813949049208,0.03857778006123079,8.17664832646429,28,18.401474785515784,False,60.99648
7,center,los,2,13.475441742876157,0.027079978450075055,5.9950258103798175,27,10.581113862263233,False,61.079632
7,center,los,3,10.907436700403412,-0.03580680950872792,3.805499424049523,21,7.985138255102201,False,62.525515
7,end,los,1,12.287786549156095,-0.004716115888695375,5.358837909149177,24,9.098366261449227,False,61.689111
7,end,los,2,8.710661996832798,0.03662758010664301,5.261676088691126,25,6.5311328711193815,False,62.906043
7,end,los,3,9.528082489944428,0.022541290260679327,5.337914203939528,27,5.707961331644907,False,61.004871
7,start,los,1,11.063124139620319,-0.004380134611507986,5.4498517663583055,18,7.985575600746874,False,62.929027
7,start,los,2,10.767838120728614,0.22105379787597126,6.886395114508765,25,7.823295048407352,False,66.028363
7,start,los,3,11.301389984057344,0.06636419653401729,6.801578942068796,29,6.39925675517584,False,137.495389
9,center,los,1,7.156009739163415,-0.07012033683616987,5.620923163470755,29,5.512595911775447,False,62.531302
9,center,los,2,8.044957163435939,-0.05478437964840229,4.513145325116795,22,5.332433927750975,False,65.498521
9,center,los,3,11.59606713103444,-0.0012655504259775914,5.4849274439817295,25,7.891097267281769,False,60.555811
9,end,los,1,8.536494636447928,0.038399192927895925,5.854625862591878,25,4.8079960878798005,False,58.857906
9,end,los,2,7.042977896103602,0.06595526096400826,4.583297530936525,23,4.722189191414834,False,61.477609
9,end,los,3,11.413933574247707,0.06294280425224781,5.7545469335896895,26,7.6188597777805604,False,61.942611
9,start,los,1,12.609524721956259,-0.018855510118609833,5.600309607613675,27,8.65859977519003,False,63.524657
9,start,los,2,10.924101739150693,-0.037133356354517935,3.9138333835647305,18,7.159684721687216,False,59.994786
9,start,los,3,5.552745685570261,0.008534357040935364,4.429195027885013,23,3.498432076472442,False,97.476564
