threshold,distance,orientation,detection_probability,total_sessions,detected_sessions
-90,3,los,1.0,9,9
-90,5,los,1.0,9,9
-90,7,los,1.0,9,9
-90,9,los,1.0,9,9
-80,3,los,1.0,9,9
-80,5,los,1.0,9,9
-80,7,los,1.0,9,9
-80,9,los,1.0,9,9
-70,3,los,1.0,9,9
-70,5,los,1.0,9,9
-70,7,los,1.0,9,9
-70,9,los,1.0,9,9
-60,3,los,0.6666666666666666,9,6
-60,5,los,1.0,9,9
-60,7,los,0.8888888888888888,9,8
-60,9,los,0.7777777777777778,9,7
-50,3,los,0.3333333333333333,9,3
-50,5,los,0.3333333333333333,9,3
-50,7,los,0.3333333333333333,9,3
-50,9,los,0.2222222222222222,9,2
