distance,position,orientation,run,packet_count,duration,prr,mean_rssi,std_rssi
3,center,los,1,80,61.992232,100.0,-47.825,5.4790163581763975
3,center,los,2,85,60.999611,100.0,-48.4,3.579704696519772
3,center,los,3,93,62.366247,100.0,-38.666666666666664,3.957198540616211
3,end,los,1,71,61.937027,100.0,-65.38028169014085,4.642555322181644
3,end,los,2,67,65.618707,100.0,-70.1044776119403,5.214008893176875
3,end,los,3,69,60.499177,100.0,-69.02898550724638,4.242540216082929
3,start,los,1,88,60.832149,100.0,-61.04545454545455,5.4875178965154
3,start,los,2,69,61.021151,100.0,-62.68115942028985,5.348151834768796
3,start,los,3,54,59.995242,90.00713756600899,-67.48148148148148,6.052414895369313
5,center,los,1,88,64.003295,100.0,-56.27272727272727,3.993463834320934
5,center,los,2,92,64.49935,100.0,-55.07608695652174,5.19347370602881
5,center,los,3,90,61.501715,100.0,-49.3,5.006624824652977
5,end,los,1,40,62.502401,63.997541470446876,-66.525,5.35885320682585
5,end,los,2,81,63.933832,100.0,-65.1604938271605,7.178887083182631
5,end,los,3,62,64.005071,96.86732477806329,-64.59677419354838,8.574571016214746
5,start,los,1,77,62.125179,100.0,-69.48051948051948,4.509085534581058
5,start,los,2,74,63.9828,100.0,-66.10810810810811,5.920865281931575
5,start,los,3,73,61.420614,100.0,-65.6027397260274,5.111913443742625
7,center,los,1,85,60.99648,100.0,-59.43529411764706,8.225174855318288
7,center,los,2,84,61.079632,100.0,-54.98809523809524,6.031032295141297
7,center,los,3,91,62.525515,100.0,-49.84615384615385,3.82658268468552
7,end,los,1,57,61.689111,92.39880276439712,-68.19298245614036,5.406472960691353
7,end,los,2,86,62.906043,100.0,-62.58139534883721,5.292536623628475
7,end,los,3,87,61.004871,100.0,-60.735632183908045,5.368858893342846
7,start,los,1,51,62.929027,81.04368116163627,-65.15686274509804,5.504080482767701
7,start,los,2,76,66.028363,100.0,-65.15789473684211,6.932152396053138
7,start,los,3,103,137.495389,74.91160303564799,-69.24271844660194,6.834838695139626
9,center,los,1,74,62.531302,100.0,-60.41891891891892,5.659291685087228
9,center,los,2,84,65.498521,100.0,-51.80952380952381,4.540251546760379
9,center,los,3,85,60.555811,100.0,-53.470588235294116,5.517479227945705
9,end,los,1,42,58.857906,71.35829806789252,-70.76190476190476,5.925593615666328
9,end,los,2,92,61.477609,100.0,-62.43478260869565,4.608411678005767
9,end,los,3,87,61.942611,100.0,-61.67816091954023,5.7879069054276275
9,start,los,1,77,63.524657,100.0,-67.44155844155844,5.637033342789792
9,start,los,2,81,59.994786,100.0,-60.876543209876544,3.9382188742164357
9,start,los,3,44,97.476564,45.139055168173556,-75.86363636363636,4.480401295829448
