distance,position,orientation,run,mean_interval,std_interval,max_gap,consistency_score
3,center,los,1,0.7847117974683545,0.4476287737179554,2.475787,2.2290144069731057
3,center,los,2,0.7261858452380953,0.3391416614846814,1.526201,2.939951535589932
3,center,los,3,0.6778939891304347,0.3505643124091982,2.010427,2.844429780563348
3,end,los,1,0.8848146714285713,0.7336418937263783,4.203936,1.3612074243787353
3,end,los,2,0.9942228333333334,0.7298596486041912,4.04793,1.368251759294439
3,end,los,3,0.8896937794117646,0.5533884401684903,2.986468,1.803789414685629
3,start,los,1,0.6992201034482758,0.31974762542831703,2.009296,3.1177159882777907
3,start,los,2,0.8973698676470587,0.5678780951963616,3.487867,1.757845852114989
3,start,los,3,1.1319856981132075,0.8172490383503198,3.524354,1.2221218151580235
5,center,los,1,0.7356700574712643,0.3967471031440486,2.147817,2.514160359925585
5,center,los,2,0.708784065934066,0.3946713969803741,2.517892,2.5273497342280757
5,center,los,3,0.6910305056179776,0.39779141504662746,3.041712,2.5075765482140033
5,end,los,1,1.6026256666666667,1.0626982634475501,4.628108,0.940116228787384
5,end,los,2,0.7991729000000001,0.45281261072233814,2.966005,2.2035526919542625
5,end,los,3,1.0492634590163934,0.8077611451337493,3.521861,1.236459004017341
5,start,los,1,0.8174365657894738,0.49956453142627694,2.530536,1.997744420985369
5,start,los,2,0.8764767123287671,0.5543366368917015,3.530962,1.800709576081893
5,start,los,3,0.8530640833333334,0.6108401960291435,3.475708,1.634413702287006
7,center,los,1,0.7261485714285714,0.4552134124112461,2.470745,2.1919565992473857
7,center,los,2,0.7358991807228916,0.47432268695262164,2.998514,2.103833937343025
7,center,los,3,0.6947279444444444,0.3780756732111946,2.025255,2.637995710800649
7,end,los,1,1.101591267857143,0.7487603682304746,3.48804,1.333759481526239
7,end,los,2,0.7400710941176472,0.3952636724539716,2.133941,2.5235722311036626
7,end,los,3,0.709358965116279,0.37744076281589645,2.025657,2.642421478487716
7,start,los,1,1.2585805399999999,1.3156190003839694,8.603255,0.7595211672536757
7,start,los,2,0.8803781733333331,0.8550890598225898,5.517065,1.1681027674938789
7,start,los,3,1.3479940098039214,1.3891179012290782,11.839997,0.7193634432848078
9,center,los,1,0.8565931780821917,0.6665772553773274,3.90599,1.4979539700386901
9,center,los,2,0.7891388072289156,0.494523749911886,2.963489,2.018066742871194
9,center,los,3,0.720902511904762,0.3887372549197801,2.01284,2.565831178253233
9,end,los,1,1.4355586829268292,1.1715834940084389,5.001306,0.852817735461662
9,end,los,2,0.6755781208791208,0.3980653378855128,2.202932,2.5058553200801628
9,end,los,3,0.7202629186046511,0.45542099559393373,3.031473,2.1909596833921174
9,start,los,1,0.83585075,0.534801355003921,3.039624,1.8663633278655705
9,start,los,2,0.7499348250000001,0.46736371932558307,2.529966,2.135092789509706
9,start,los,3,2.2668968372093024,2.3183457310484696,13.482249,0.43115607415197477
