name,time,location
buttons,1685017222408000000,approach
buttons,1685017227430000000,centre
buttons,1685017232669000000,depart
buttons,1685017249479000000,depart
buttons,1685017254867000000,centre
buttons,1685017259961000000,approach
buttons,1685017275685000000,approach
buttons,1685017281190000000,centre
buttons,1685017286504000000,depart
buttons,1685017304417000000,depart
buttons,1685017310030000000,centre
buttons,1685017332852000000,approach
buttons,1685017337965000000,centre
buttons,1685017343539000000,depart
buttons,1685017363553000000,depart
buttons,1685017369202000000,centre
buttons,1685017374491000000,approach
buttons,1685017380009000000,start
buttons,1685017394616000000,approach
buttons,1685017399858000000,centre
buttons,1685017405469000000,depart
buttons,1685017427276000000,depart
buttons,1685017433005000000,centre
buttons,1685017452996000000,start
buttons,1685017458797000000,approach
buttons,1685017463947000000,centre
buttons,1685017469300000000,depart
buttons,1685017488114000000,depart
buttons,1685017493879000000,centre
buttons,1685017499041000000,approach
buttons,1685017516968000000,approach
buttons,1685017522012000000,centre
buttons,1685017527635000000,depart
buttons,1685017551850000000,centre
buttons,1685017570255000000,start
buttons,1685017576346000000,approach
buttons,1685017581788000000,centre
buttons,1685017587465000000,depart
buttons,1685017610524000000,centre
